578654005,1
11258704,1
74651061,1
4818594,1
41123342,1
214225042,0
187457893,0
221474888,0
88573900,1
7571786,1
361941992,0
3566735,1
57081764,1
138076557,0
14585081,1
31070125,1
178801704,1
316854749,1
3251921,1
3692240,1
162798999,1
128572657,0
2970985,1
132780392,0
13526501,1
198078006,1
13947457,1
84480904,1
104426546,1
448358548,1
278393789,1
116498750,1
9678435,1
253151768,0
8513549,1
207398738,1
158851459,1
50499477,1
278796890,1
40405981,1
4020999,1
3110249,1
5212833,1
51929011,1
6261651,1
2251952328,1
195052727,1
68918978,1
19510636,1
216241825,0
34401132,1
265314056,1
77676221,1
17081376,1
3057074,1
103606913,1
15353779,1
11722868,1
136320451,0
69700208,1
16072864,1
21556085,1
26346861,1
1573268,1
54657271,1
17978819,1
17849118,1
3688546,1
3383861,1
39278134,1
6498055,1
3837056,1
3378187,1
38156305,1
3404922,1
3200117,1
288574183,1
1889515,1
19759928,1
64979630,1
451795474,1
9963167,1
64307877,1
21246805,1
