"eventID","m1","m2","m3","x1","x2","x3","y1","y2","y3","tEnd","x1[tEnd]","x2[tEnd]","x3[tEnd]","y1[tEnd]","y2[tEnd]","y3[tEnd]"
101,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,0.,-1.9923297437546172,1.2476233075942909,4.558351750247336,1.2628481469502042,-1.5714022857157586,4.985244165194343
102,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,0.5882352352941177,-2.0418162893023326,1.231508601189105,4.527594986062376,1.3558890336322036,-1.5033925774253798,4.943235601932165
103,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,1.1764704705882354,-2.1856711706452328,1.1859515334659145,4.433315845177135,1.6314446025865763,-1.2985414152553862,4.815614591689868
104,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,1.764705705882353,-2.4109658147968918,1.1195266363924459,4.268998033262143,2.07913834202898,-0.9535028552447103,4.597161887074603
105,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,2.352940941176471,-2.6988751090429277,1.0479509213759541,4.021705439425122,2.682368950340925,-0.4594143058336095,4.277275357531832
106,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,2.9411761764705884,-3.028332809807791,0.9998337631729405,3.666274570805465,3.418378263009276,0.20535868535408947,3.834557561752972
107,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,3.529411411764706,-3.381014119250523,1.0431841219484699,3.1411023942036995,4.257402265971236,1.09817112767041,3.2166399656090654
108,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,4.117646647058824,-3.747116547835497,1.6727123933154233,1.9920356193929298,5.160379110552255,2.4438070727755554,2.2182802215366766
109,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,4.705881882352942,-4.100600835231332,1.853384425915168,1.1812307881919326,6.071900629226515,1.0701247663692468,3.7688914519458323
110,5,12,13,-1.9923297437546172,1.2628481469502042,1.2476233075942909,-1.5714022857157586,4.558351750247336,4.985244165194343,5.294117117647059,-4.38558888450979,1.320479023716696,0.9610825541248147,6.97281595754995,0.3626208582445001,4.742370961671166
