"m1","m2","m3","x1","x2","x3","y1","y2","y3","tEnd","x1[tEnd]","x2[tEnd]","x3[tEnd]","y1[tEnd]","y2[tEnd]","y3[tEnd]"
5,12,13,-2.287721493475988,1.3437741256711564,1.3737559716577827,-0.9796818804346947,4.155630622400549,3.768783663099344,0.001,-2.287721671861398,1.3737559668955068,4.155630433326618,1.3437744029604588,-0.9796815561649682,3.7687834234310333
5,12,13,-2.287721493475988,1.3437741256711564,1.3737559716577827,-0.9796818804346947,4.155630622400549,3.768783663099344,0.003,-2.2877228002893752,1.3737559367746435,4.155629237278274,1.3437761570343896,-0.9796795048947506,3.7687819073323348
5,12,13,-2.287721493475988,1.3437741256711564,1.3737559716577827,-0.9796818804346947,4.155630622400549,3.768783663099344,0.005,-2.2877250571400953,1.3737558765409292,4.1556268451741225,1.34377966517607,-0.9796754023468418,3.768778875126897
5,12,13,-2.287721493475988,1.3437741256711564,1.3737559716577827,-0.9796818804346947,4.155630622400549,3.768783663099344,0.01,-2.2877356361268215,1.373755594196961,4.155615632184453,1.343796109588988,-0.9796561716520568,3.768764661662334
5,12,13,-2.287721493475988,1.3437741256711564,1.3737559716577827,-0.9796818804346947,4.155630622400549,3.768783663099344,1,-2.42611833902776,1.37433503869808,4.002068852833955,1.559847032709121,-0.719137140381055,3.5748880813709443
5,12,13,-2.287721493475988,1.3437741256711564,1.3737559716577827,-0.9796818804346947,4.155630622400549,3.768783663099344,5,-4.2010997805840935,-0.11565002566399381,1.8115634552389892,5.162859581472975,-0.5222217087799282,4.374991615033191
5,12,13,-2.287721493475988,1.3437741256711564,1.3737559716577827,-0.9796818804346947,4.155630622400549,3.768783663099344,7.5,-4.0759324125368845,-2.0393273760223587,-0.4132977541277778,8.496728500756708,1.2043515749408409,4.165260511811568
5,12,13,-1.4893732752660425,1.1330947724188172,1.1931257508942354,-1.5682350374882814,3.5428775685334317,3.9938340865527304,0.001,-1.4893734205123121,1.193125689330093,3.5428774163983174,1.133095232255809,-1.5682346992062384,3.9938338641185616
5,12,13,-1.4893732752660425,1.1330947724188172,1.1931257508942354,-1.5682350374882814,3.5428775685334317,3.9938340865527304,0.003,-1.489374405065223,1.193125272017631,3.5428763851369385,1.1330983492858373,-1.5682324061371862,3.993832356330996
5,12,13,-1.4893732752660425,1.1330947724188172,1.1931257508942354,-1.5682350374882814,3.5428775685334317,3.9938340865527304,0.005,-1.4893763741594637,1.1931244373983778,3.542874322608494,1.1331045833402769,-1.568227819994803,3.9938293407507137
